"Id","UrlFuente","UrlImagenNota","UrlImagenSis","Latitud","Longitud","Ubicacion","Titulo","Descripcion","FechaNota","FechaIngreso","FechaAccidente"
1,http://www.diariosumario.com.ar/policiales/2018/8/1/incendio-vivienda-barrio-sabatini-13052.html,https://www.diariosumario.com.ar/u/fotografias/m/2018/8/1/f620x350-14887_45905_142.jpg,"",-31.662032,-64.438910,Córdoba - Alta Gracia ,"",se incendió una vivienda Aparentemente producto un cortocircuito de la heladera perdidas totales.,2018-10-01 00:00:00,2018-10-01 00:00:00,2018-10-01 00:00:00
2,http://policia.sanluis.gov.ar/villa-mercedes-fallecio-un-hombre-tras-el-incendio-de-una-vivienda/,http://policia.sanluis.gov.ar/wp-content/uploads/2016/06/Villa-Mercedes-Unidad-2.jpg,"",-33.671892,-65.462665,San Luis - Villa Mercedes ,"",muere hombre en incendio producido Según pericia por cortocircuito,2018-10-01 00:00:00,2018-10-01 00:00:00,2018-10-01 00:00:00
3,http://www.noticiasdelparana.com.ar/np/index.php/policiales/47995-chaco-se-incendio-una-vivienda,http://www.noticiasdelparana.com.ar/np/images/resized/images/0-casa-incendio0208_210_120.jpg,"",-27.473711,-59.003246,Chaco - Resistencia,"",se incendió una vivienda Aparentemente por cortocircuito,2018-10-02 00:00:00,2018-10-02 00:00:00,2018-10-02 00:00:00
4,https://laopinionaustral.com.ar/incendio-accidental-dejo-perdidas-totales/,https://laopinionaustral.com.ar/wp-content/uploads/2018/08/incendio.jpg,"",-50.022070,-68.522670,Santa Cruz - Puerto Santa Cruz,"", Un incendio originado por un cortocircuito genera perdidas totales,2018-10-03 00:00:00,2018-10-03 00:00:00,2018-10-03 00:00:00
5,https://www.radiopopularsanluis.com.ar/provincia/2018/8/3/sofocaron-un-incendio-en-el-garaje-de-una-casa-17929.html,https://www.radiopopularsanluis.com.ar/u/fotografias/m/2018/8/3/f800x450-32361_83807_0.jpg,"",-33.278460,-66.239910,San Luis - Capital,"",una casa se incendió los bomberos presumen que fue originado por un cortocircuito,2018-10-03 00:00:00,2018-10-03 00:00:00,2018-10-03 00:00:00
6,http://www.radiosudeste.com.ar/post/marcos-juarez-incendio-de-una-vivienda-en-calle-25-de-mayo,http://www.radiosudeste.com.ar/uploads/images/image_750x_5b64c7217397e.jpg,"",-32.697890,-62.101930,Córdoba - Marcos Juárez. ,"",Incendio de una vivienda Aparentemente producido por cortocircuito produce daños totales hay una mujer y cinco niños internados,2018-10-03 00:00:00,2018-10-03 00:00:00,2018-10-03 00:00:00
7,https://losandes.com.ar/article/view?slug=un-incendio-en-el-instituto-zaldivar-genero-panico-en-la-quinta-seccion,https://losandes.com.ar/uploads/2018/08/image5b6451b28d9bc.jpeg,"",-32.886790,-68.859720,Mendoza - Capital,"",evacuaron El Instituto Zaldívar por un incendio generado debido a un cortocircuito,2018-10-03 00:00:00,2018-10-03 00:00:00,2018-10-03 00:00:00
8,https://www.elpatagonico.com/bomberos-descanso-hoy-hubo-tres-viviendas-incendiadas-n3082924,https://media.elpatagonico.com/adjuntos/193/imagenes/029/326/0029326968.jpeg,"",-45.867040,-67.533060,Chubut - Comodoro,"","3 viviendas incendiadas casi de forma simultánea en distintos lugares. Bomberos instan a vecinos a controlar instalaciones eléctricas y de gas para prevención ",2018-10-03 00:00:00,2018-10-03 00:00:00,2018-10-03 00:00:00
9,https://www.canal13sanjuan.com/policial/2018/8/3/perdi-todo-tras-incendio-casa-explosin-medidor-76988.html,https://www.canal13sanjuan.com/u/fotografias/m/2018/8/3/f800x450-111406_162852_238.jpg,"",-31.658950,-68.447470,San Juan - Rawson,"",Debido a un problema en el punto de conexión y medición (explotó el medidor) se incendió toda su vivienda hubo pérdidas totales,2018-10-03 00:00:00,2018-10-03 00:00:00,2018-10-03 00:00:00
10,http://www.nexosdelsur.com/nota/118468,http://www.nexosdelsur.com/wp/wp-content/uploads/2018/08/PHOTO-2018-08-04-11-37-30_result.jpg,"",-34.131130,-63.388530,Córdoba - Laboulaye ,"",se incendió una vivienda producto de un cortocircuito afortunadamente sin heridos,2018-10-04 00:00:00,2018-10-04 00:00:00,2018-10-04 00:00:00
