"Id","Nombre","Descripcion","UrlIcon"
1,Esp. de acceso público,,../../Images/Categoria/electrico.png
2,Vìa pública,,../../Images/Categoria/electrico.png
3,Alumbrado público,,
4,Cartelería,,
6,Plazas,,
7,Esp. de acceso privado,,
9,Vial,,
12,Semáforos,,
14,Punto de conexion,,
15,Ilegal,,
16,Rampas,,
21,Higiene y seguridad,,
22,Acometida,,
23,Agua,,
24,Arbol,,
25,Artefacto,,
26,Boca de tormenta,,
27,Cables expuestos,,
28,Caja,,
29,Cazuela,,
30,Cemento,,
31,Cloaca,,
32,Desagüe,,
33,Electrificado,,
34,Farola,,
35,Gabinete,,
36,Inestable,,
37,Madera,,
38,Metal,,
39,Obras,,
40,Pared,,
41,Poste,,
42,Rota,,
43,Sin tapa,,
44,Tapa,,
45,Vereda,,
46,Conexión,,
47,Equipamiento/Juegos,,
48,Maceta,,
49,Hundimiento,,
